gene_name	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K00052	150.052063	154.8644274	153.8112488	151.6081091	156.6025132	154.5698936	211.2096362	227.3154425	222.3923673	247.625468	221.0932534	251.7656066	228.9854599	207.8336444	238.1864798	248.3068565	235.4160553	245.8519952	255.3565877	225.2107967	224.5042579	224.9373415	233.4601912	221.1587517
K00053	140.455297	152.9094068	159.1029159	160.452025	157.4381899	147.3751552	236.3891888	230.6760361	244.2378061	239.4947549	255.3120321	225.2582411	265.0235579	234.7659756	265.1056289	270.4196644	262.3559759	270.4969983	268.6201624	236.4924895	242.2480769	254.2481577	238.8131953	238.8148407
K00826	244.3966492	249.5173453	257.4001686	246.7615272	253.8939337	264.5469769	353.216835	358.2327345	343.4649312	346.356306	364.0286022	342.3675192	358.6584024	333.5824084	380.8964087	377.9735216	380.339583	398.4123428	373.3140215	347.893487	342.6024999	343.6563438	334.3674641	328.8503051
K01649	259.6545417	233.3254473	263.6287944	241.0339606	249.2099617	265.477282	337.0525455	325.4244176	340.4396838	329.5421628	357.0213248	372.1446195	394.2964051	354.7930452	409.39093	438.46656	417.1384988	428.0578911	464.5050733	387.8190681	359.969623	376.7782813	373.4147511	369.2607101
K01652	300.9237893	320.8728221	318.9941258	318.5937217	324.050855	302.7665708	424.8745537	384.4143244	398.4281454	398.545369	393.229268	408.2226623	464.9534383	477.0108914	448.5251618	436.0827062	431.5863819	434.8082136	542.4857841	445.3458971	478.1845859	477.0667749	501.8006095	474.5428526
K01653	172.9247925	187.5598618	182.6694449	181.0577633	187.316035	185.0255948	250.2583207	247.5633768	272.989085	264.4715426	270.9661848	270.0569436	266.4359863	246.2231899	279.886094	292.3087231	271.3974144	276.6330663	280.9197222	255.8679956	266.5669291	256.6849583	276.9297353	258.7013728
K01687	322.4432897	320.4837351	309.8660397	317.3255014	298.6749096	318.1295275	402.7192539	413.1211168	401.1154547	421.0553675	422.1451756	511.6643286	409.3916947	387.3488545	392.8947495	395.760014	385.5401947	381.7821023	411.9178388	397.7541073	430.1289973	400.8345337	424.3751438	421.4830145
K01703	242.7381949	253.5704108	246.2600569	256.655826	245.8811492	278.2979917	301.5056829	303.0287888	306.8569345	397.0031835	311.8236644	457.0341222	361.3435252	328.3421478	344.6895874	342.6904521	339.8337663	350.5568798	352.8173985	328.7402338	322.0404859	328.7580295	327.2469882	317.4763977
K01704	194.8547953	194.7865976	179.0057329	193.4380681	189.2761424	189.1998262	264.6593986	270.0627375	274.9723352	335.9987539	258.1138905	354.6244087	264.0444613	264.8340643	262.6193824	271.5119816	261.4837967	272.5309648	277.3660561	288.640152	277.211875	283.0867832	257.5451963	258.1158526
K01754	57.7095975	51.207919	49.47601831	41.1760405	57.9070215	49.196196	155.0656481	124.3824124	138.5398034	144.6062444	130.899003	139.1841241	199.2419402	200.7900503	195.0818013	181.5140276	194.7098772	195.5997174	226.3536532	162.3259205	184.4574059	157.6795894	190.6436846	178.1191835
K09011	30.21869859	41.96254792	49.47956595	46.7783266	39.25461547	31.42256294	135.6795169	136.4053114	147.6008401	182.6249803	151.3737771	99.45162495	110.6220541	106.2003026	107.5879246	107.9472295	118.6395146	110.9848714	126.9505763	103.4644313	134.1278848	119.4560122	134.2088041	116.5686984
K17989	0.400484552	0.322091094	0.841690662	0.847609835	0.682974771	0.602898543	0.35935676	0.1768945	0.22130863	0.09336543	0.32456818	0.41949847	0.3466966	0.194747835	0.456853435	0.549412843	0.462542207	0.69222511	0.79884322	0.678614004	0.452688595	0.331931204	0.69885537	0.390632605
